file,time_bin,percent_time_swimming,condition
C9_t2_2025_11_11-05_53_54.h5,92.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,93.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,94.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,95.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,96.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,97.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,98.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,99.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,100.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,101.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,102.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,103.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,104.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,105.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,106.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,107.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,108.5,3.0000000000001137,control
C9_t2_2025_11_11-05_53_54.h5,109.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,110.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,111.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,112.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,113.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,114.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,115.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,116.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,117.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,118.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,119.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,120.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,121.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,122.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,123.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,124.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,125.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,126.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,127.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,128.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,129.5,34.99999999999943,control
C9_t2_2025_11_11-05_53_54.h5,130.5,12.999999999999543,control
C9_t2_2025_11_11-05_53_54.h5,131.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,132.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,133.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,134.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,135.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,136.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,137.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,138.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,139.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,140.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,141.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,142.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,143.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,144.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,145.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,146.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,147.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,148.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,149.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,150.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,151.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,152.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,153.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,154.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,155.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,156.5,1.999999999998181,control
C9_t2_2025_11_11-05_53_54.h5,157.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,158.5,5.000000000001137,control
C9_t2_2025_11_11-05_53_54.h5,159.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,160.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,161.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,162.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,163.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,164.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,165.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,166.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,167.5,2.000000000001023,control
C9_t2_2025_11_11-05_53_54.h5,168.5,6.000000000000227,control
C9_t2_2025_11_11-05_53_54.h5,169.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,170.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,171.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,172.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,173.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,174.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,175.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,176.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,177.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,178.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,179.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,180.5,9.000000000000341,control
C9_t2_2025_11_11-05_53_54.h5,181.5,3.0000000000001137,control
C9_t2_2025_11_11-05_53_54.h5,182.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,183.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,184.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,185.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,186.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,187.5,14.000000000001478,control
C9_t2_2025_11_11-05_53_54.h5,188.5,0.0,control
C9_t2_2025_11_11-05_53_54.h5,189.5,10.999999999998522,control
F3_t1_2025_11_05-12_06_10.h5,0.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,1.5,8.000000000000007,opsin
F3_t1_2025_11_05-12_06_10.h5,2.5,41.000000000000014,opsin
F3_t1_2025_11_05-12_06_10.h5,3.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,4.5,51.99999999999996,opsin
F3_t1_2025_11_05-12_06_10.h5,5.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,6.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,7.5,44.00000000000004,opsin
F3_t1_2025_11_05-12_06_10.h5,8.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,9.5,49.00000000000002,opsin
F3_t1_2025_11_05-12_06_10.h5,10.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,11.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,12.5,40.00000000000004,opsin
F3_t1_2025_11_05-12_06_10.h5,13.5,5.000000000000071,opsin
F3_t1_2025_11_05-12_06_10.h5,14.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,15.5,35.99999999999994,opsin
F3_t1_2025_11_05-12_06_10.h5,16.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,17.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,18.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,19.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,20.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,21.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,22.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,23.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,24.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,25.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,26.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,27.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,28.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,29.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,30.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,31.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,32.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,33.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,34.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,35.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,36.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,37.5,46.000000000000085,opsin
F3_t1_2025_11_05-12_06_10.h5,38.5,65.99999999999966,opsin
F3_t1_2025_11_05-12_06_10.h5,39.5,42.99999999999997,opsin
F3_t1_2025_11_05-12_06_10.h5,40.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,41.5,3.0000000000001137,opsin
F3_t1_2025_11_05-12_06_10.h5,42.5,3.0000000000001137,opsin
F3_t1_2025_11_05-12_06_10.h5,43.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,44.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,45.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,46.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,47.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,48.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,49.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,50.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,51.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,52.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,53.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,54.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,55.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,56.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,57.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,58.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,59.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,60.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,61.5,3.0000000000001137,opsin
F3_t1_2025_11_05-12_06_10.h5,62.5,0.999999999999801,opsin
F3_t1_2025_11_05-12_06_10.h5,63.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,64.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,65.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,66.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,67.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,68.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,69.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,70.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,71.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,72.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,73.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,74.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,75.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,76.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,77.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,78.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,79.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,80.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,81.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,82.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,83.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,84.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,85.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,86.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,87.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,88.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,89.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,90.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,91.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,92.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,93.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,94.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,95.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,96.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,97.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,98.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,99.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,100.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,101.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,102.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,103.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,104.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,105.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,106.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,107.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,108.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,109.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,110.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,111.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,112.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,113.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,114.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,115.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,116.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,117.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,118.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,119.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,120.5,7.999999999999829,opsin
F3_t1_2025_11_05-12_06_10.h5,121.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,122.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,123.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,124.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,125.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,126.5,3.0000000000001137,opsin
F3_t1_2025_11_05-12_06_10.h5,127.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,128.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,129.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,130.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,131.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,132.5,12.999999999999543,opsin
F3_t1_2025_11_05-12_06_10.h5,133.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,134.5,5.000000000001137,opsin
F3_t1_2025_11_05-12_06_10.h5,135.5,24.00000000000091,opsin
F3_t1_2025_11_05-12_06_10.h5,136.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,137.5,17.99999999999784,opsin
F3_t1_2025_11_05-12_06_10.h5,138.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,139.5,12.000000000000457,opsin
F3_t1_2025_11_05-12_06_10.h5,140.5,47.99999999999898,opsin
F3_t1_2025_11_05-12_06_10.h5,141.5,9.000000000000341,opsin
F3_t1_2025_11_05-12_06_10.h5,142.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,143.5,68.99999999999977,opsin
F3_t1_2025_11_05-12_06_10.h5,144.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,145.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,146.5,21.999999999999886,opsin
F3_t1_2025_11_05-12_06_10.h5,147.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,148.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,149.5,51.00000000000193,opsin
F3_t1_2025_11_05-12_06_10.h5,150.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,151.5,62.999999999999545,opsin
F3_t1_2025_11_05-12_06_10.h5,152.5,0.9999999999990904,opsin
F3_t1_2025_11_05-12_06_10.h5,153.5,25.0,opsin
F3_t1_2025_11_05-12_06_10.h5,154.5,38.99999999999864,opsin
F3_t1_2025_11_05-12_06_10.h5,155.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,156.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,157.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,158.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,159.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,160.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,161.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,162.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,163.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,164.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,165.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,166.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,167.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,168.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,169.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,170.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,171.5,22.999999999998977,opsin
F3_t1_2025_11_05-12_06_10.h5,172.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,173.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,174.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,175.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,176.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,177.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,178.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,179.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,180.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,181.5,9.999999999999432,opsin
F3_t1_2025_11_05-12_06_10.h5,182.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,183.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,184.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,185.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,186.5,16.99999999999875,opsin
F3_t1_2025_11_05-12_06_10.h5,187.5,46.0000000000008,opsin
F3_t1_2025_11_05-12_06_10.h5,188.5,0.0,opsin
F3_t1_2025_11_05-12_06_10.h5,189.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,0.5,16.000000000000004,opsin
F3_t3_2025_11_05-12_23_37.h5,1.5,33.00000000000001,opsin
F3_t3_2025_11_05-12_23_37.h5,2.5,25.0,opsin
F3_t3_2025_11_05-12_23_37.h5,3.5,24.00000000000002,opsin
F3_t3_2025_11_05-12_23_37.h5,4.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,5.5,49.00000000000002,opsin
F3_t3_2025_11_05-12_23_37.h5,6.5,0.9999999999999788,opsin
F3_t3_2025_11_05-12_23_37.h5,7.5,7.000000000000028,opsin
F3_t3_2025_11_05-12_23_37.h5,8.5,25.0,opsin
F3_t3_2025_11_05-12_23_37.h5,9.5,31.00000000000005,opsin
F3_t3_2025_11_05-12_23_37.h5,10.5,15.000000000000036,opsin
F3_t3_2025_11_05-12_23_37.h5,11.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,12.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,13.5,16.000000000000014,opsin
F3_t3_2025_11_05-12_23_37.h5,14.5,26.99999999999996,opsin
F3_t3_2025_11_05-12_23_37.h5,15.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,16.5,32.00000000000003,opsin
F3_t3_2025_11_05-12_23_37.h5,17.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,18.5,32.00000000000003,opsin
F3_t3_2025_11_05-12_23_37.h5,19.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,20.5,37.0000000000001,opsin
F3_t3_2025_11_05-12_23_37.h5,21.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,22.5,36.999999999999744,opsin
F3_t3_2025_11_05-12_23_37.h5,23.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,24.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,25.5,28.999999999999915,opsin
F3_t3_2025_11_05-12_23_37.h5,26.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,27.5,31.999999999999677,opsin
F3_t3_2025_11_05-12_23_37.h5,28.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,29.5,32.99999999999983,opsin
F3_t3_2025_11_05-12_23_37.h5,30.5,0.999999999999801,opsin
F3_t3_2025_11_05-12_23_37.h5,31.5,41.000000000000014,opsin
F3_t3_2025_11_05-12_23_37.h5,32.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,33.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,34.5,36.999999999999744,opsin
F3_t3_2025_11_05-12_23_37.h5,35.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,36.5,61.999999999999744,opsin
F3_t3_2025_11_05-12_23_37.h5,37.5,3.0000000000001137,opsin
F3_t3_2025_11_05-12_23_37.h5,38.5,92.00000000000016,opsin
F3_t3_2025_11_05-12_23_37.h5,39.5,71.00000000000009,opsin
F3_t3_2025_11_05-12_23_37.h5,40.5,14.000000000000057,opsin
F3_t3_2025_11_05-12_23_37.h5,41.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,42.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,43.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,44.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,45.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,46.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,47.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,48.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,49.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,50.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,51.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,52.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,53.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,54.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,55.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,56.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,57.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,58.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,59.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,60.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,61.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,62.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,63.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,64.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,65.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,66.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,67.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,68.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,69.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,70.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,71.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,72.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,73.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,74.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,75.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,76.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,77.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,78.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,79.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,80.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,81.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,82.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,83.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,84.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,85.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,86.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,87.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,88.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,89.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,90.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,91.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,92.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,93.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,94.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,95.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,96.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,97.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,98.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,99.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,100.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,101.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,102.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,103.5,40.00000000000057,opsin
F3_t3_2025_11_05-12_23_37.h5,104.5,100.0,opsin
F3_t3_2025_11_05-12_23_37.h5,105.5,100.0,opsin
F3_t3_2025_11_05-12_23_37.h5,106.5,100.0,opsin
F3_t3_2025_11_05-12_23_37.h5,107.5,84.99999999999943,opsin
F3_t3_2025_11_05-12_23_37.h5,108.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,109.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,110.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,111.5,100.0,opsin
F3_t3_2025_11_05-12_23_37.h5,112.5,48.99999999999949,opsin
F3_t3_2025_11_05-12_23_37.h5,113.5,0.0,opsin
F3_t3_2025_11_05-12_23_37.h5,114.5,37.999999999999545,opsin
F3_t3_2025_11_05-12_23_37.h5,115.5,100.0,opsin
F3_t3_2025_11_05-12_23_37.h5,116.5,100.0,opsin
F3_t3_2025_11_05-12_23_37.h5,117.5,40.99999999999966,opsin
F3_t3_2025_11_05-12_23_37.h5,118.5,0.0,opsin
